"PlayerID" "Name" "Country" "Role" "Fame"
1 "ⓜ | 8eeR" "Belarus" "IGL" 2
2 "ⓜ | Onebody" "China" "Entry" 2
3 "ⓜ | Jazooka" "Japan" "Lurker" 2
4 "ⓜ | HazardiaN" "Slovakia" "AWP" 1
5 "ⓜ | GreekFreakKief" "Greece" "Support" 2
6 "ⓜ | Bonk" "Russia" "IGL" 0
7 "ⓜ | Stroky" "Latvia" "Support" 0
8 "ⓜ | SantiSupreme" "Peru" "Lurker" 0
