player|achievement_name|achievement_link|achievement_tier|season_name|position
"ⓜ | 8eeR"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-silver.png|B|Season 8|2nd
"ⓜ | bonk"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-gold.png|B|Season 9|1st
"ⓜ | jazooka"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-gold.png|B|Season 9|1st
"ⓜ | onebody"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-gold.png|B|Season 9|1st
"ⓜ | stroky"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-gold.png|B|Season 9|1st
"ⓜ | 8eeR"|League Emerald|/home/grev/projects/CPL_Team_Viewer/Achievement_png/league-emerald-gold.png|B|Season 9|1st
